Column,Description
level_strict3,School level category
locale_simple,Geographic locale type
race,Racial/ethnic group name
years_n,Number of years with valid disparity ratios
avg_ratio_vs_all,Average suspension rate ratio compared to all students
median_ratio_vs_all,Median suspension rate ratio compared to all students
latest_ratio_vs_all,Most recent year's ratio compared to all students
avg_diff_vs_all,Average absolute rate difference from all students
latest_diff_vs_all,Most recent year's rate difference from all students
latest_year,Most recent academic year with data
avg_enrollment,Average enrollment for this racial group
