Column,Description
level_strict3,School level category
locale_simple,Geographic locale type
academic_year,Specific academic year
year_fct,Academic year as ordered factor
n_races,Number of racial groups with valid rates this year
max_rate,Highest suspension rate among racial groups
min_rate,Lowest suspension rate among racial groups
spread_abs,Absolute difference (max_rate - min_rate)
spread_ratio,Ratio (max_rate / min_rate)
p90_rate,90th percentile suspension rate
p10_rate,10th percentile suspension rate
spread_9010,90th-10th percentile difference
cv,Coefficient of variation (SD/mean)
