level_strict3,locale_simple,race,total_records,complete_records,completeness_rate
Alternative,City,All Students,1180,1180,1
Alternative,City,American Indian/Alaska Native,1028,21,0.020428015564202335
Alternative,City,Asian,1091,316,0.28964252978918426
Alternative,City,Black/African American,1166,651,0.5583190394511149
Alternative,City,Filipino,1037,129,0.12439729990356799
Alternative,City,Hispanic/Latino,1180,1160,0.9830508474576272
Alternative,City,Pacific Islander,978,25,0.02556237218813906
Alternative,City,Two or More Races,1110,302,0.27207207207207207
Alternative,City,White,1171,743,0.6345004269854825
Alternative,Rural,All Students,324,313,0.9660493827160493
Alternative,Rural,American Indian/Alaska Native,278,34,0.1223021582733813
Alternative,Rural,Asian,249,12,0.04819277108433735
Alternative,Rural,Black/African American,265,42,0.15849056603773584
Alternative,Rural,Filipino,238,7,0.029411764705882353
Alternative,Rural,Hispanic/Latino,319,205,0.6426332288401254
Alternative,Rural,Pacific Islander,235,4,0.01702127659574468
Alternative,Rural,Two or More Races,280,23,0.08214285714285714
Alternative,Rural,White,311,184,0.5916398713826366
Alternative,Suburban,All Students,1211,1207,0.9966969446738233
Alternative,Suburban,American Indian/Alaska Native,1043,18,0.01725790987535954
Alternative,Suburban,Asian,1111,242,0.21782178217821782
Alternative,Suburban,Black/African American,1186,596,0.5025295109612141
Alternative,Suburban,Filipino,1072,122,0.11380597014925373
Alternative,Suburban,Hispanic/Latino,1211,1137,0.9388934764657308
Alternative,Suburban,Pacific Islander,1008,24,0.023809523809523808
Alternative,Suburban,Two or More Races,1122,324,0.2887700534759358
Alternative,Suburban,White,1198,744,0.6210350584307178
Alternative,Town,All Students,618,609,0.9854368932038835
Alternative,Town,American Indian/Alaska Native,535,48,0.08971962616822429
Alternative,Town,Asian,475,5,0.010526315789473684
Alternative,Town,Black/African American,529,29,0.054820415879017016
Alternative,Town,Filipino,442,1,0.0022624434389140274
Alternative,Town,Hispanic/Latino,618,484,0.7831715210355987
Alternative,Town,Pacific Islander,444,0,0
Alternative,Town,Two or More Races,539,45,0.08348794063079777
Alternative,Town,White,597,349,0.5845896147403685
Alternative,Unknown,All Students,220,194,0.8818181818181818
Alternative,Unknown,American Indian/Alaska Native,147,8,0.05442176870748299
Alternative,Unknown,Asian,135,16,0.11851851851851852
Alternative,Unknown,Black/African American,179,53,0.29608938547486036
Alternative,Unknown,Filipino,115,6,0.05217391304347826
Alternative,Unknown,Hispanic/Latino,215,101,0.4697674418604651
Alternative,Unknown,Pacific Islander,117,1,0.008547008547008548
Alternative,Unknown,Two or More Races,154,18,0.11688311688311688
Alternative,Unknown,White,203,55,0.270935960591133
Elementary,City,All Students,4393,4393,1
Elementary,City,American Indian/Alaska Native,3717,13,0.003497444175410277
Elementary,City,Asian,4256,2448,0.575187969924812
Elementary,City,Black/African American,4349,2919,0.671188779029662
Elementary,City,Filipino,4156,1293,0.31111645813282
Elementary,City,Hispanic/Latino,4393,4389,0.9990894605053494
Elementary,City,Pacific Islander,3771,143,0.0379209758684699
Elementary,City,Two or More Races,4259,2202,0.517022775299366
Elementary,City,White,4365,3165,0.7250859106529209
Elementary,Rural,All Students,546,544,0.99633699633699635
Elementary,Rural,American Indian/Alaska Native,506,66,0.13043478260869565
Elementary,Rural,Asian,492,114,0.23170731707317074
Elementary,Rural,Black/African American,489,117,0.2392638036809816
Elementary,Rural,Filipino,468,88,0.18803418803418803
Elementary,Rural,Hispanic/Latino,545,481,0.8825688073394495
Elementary,Rural,Pacific Islander,430,6,0.013953488372093023
Elementary,Rural,Two or More Races,524,273,0.5209923664122137
Elementary,Rural,White,545,489,0.8972477064220183
Elementary,Suburban,All Students,4564,4564,1
Elementary,Suburban,American Indian/Alaska Native,3966,45,0.0113464447806354
Elementary,Suburban,Asian,4462,2894,0.6485880770954728
Elementary,Suburban,Black/African American,4497,2256,0.5016677785190127
Elementary,Suburban,Filipino,4367,1709,0.39134417220059536
Elementary,Suburban,Hispanic/Latino,4564,4561,0.9993426818580193
Elementary,Suburban,Pacific Islander,3986,158,0.03963873557451079
Elementary,Suburban,Two or More Races,4417,2943,0.6662893366538375
Elementary,Suburban,White,4548,3759,0.8265171503957783
Elementary,Town,All Students,697,697,1
Elementary,Town,American Indian/Alaska Native,649,143,0.22033898305084745
Elementary,Town,Asian,680,125,0.18382352941176472
Elementary,Town,Black/African American,666,160,0.24024024024024024
Elementary,Town,Filipino,590,19,0.03220338983050847
Elementary,Town,Hispanic/Latino,697,686,0.9842180774748924
Elementary,Town,Pacific Islander,561,7,0.012477718360071301
Elementary,Town,Two or More Races,663,380,0.5731523378582202
Elementary,Town,White,697,648,0.9296987087517934
Elementary,Unknown,All Students,160,152,0.95
Elementary,Unknown,American Indian/Alaska Native,105,4,0.0380952380952381
Elementary,Unknown,Asian,140,40,0.2857142857142857
Elementary,Unknown,Black/African American,135,50,0.37037037037037035
Elementary,Unknown,Filipino,118,4,0.03389830508474576
Elementary,Unknown,Hispanic/Latino,156,133,0.8525641025641025
Elementary,Unknown,Pacific Islander,89,0,0
Elementary,Unknown,Two or More Races,133,37,0.2781954887218045
Elementary,Unknown,White,152,77,0.506578947368421
High,City,All Students,2463,2460,0.9987819732034104
High,City,American Indian/Alaska Native,2290,272,0.11877729257641921
High,City,Asian,2394,1465,0.6119465329991646
High,City,Black/African American,2456,1928,0.7850162866449512
High,City,Filipino,2346,1069,0.4556692242114237
High,City,Hispanic/Latino,2463,2452,0.9955339017458384
High,City,Pacific Islander,2208,333,0.15081521739130435
High,City,Two or More Races,2367,1265,0.5344317701732151
High,City,White,2446,1883,0.7698282910874897
High,Rural,All Students,769,759,0.9869960988296489
High,Rural,American Indian/Alaska Native,711,155,0.2180028129395218
High,Rural,Asian,681,174,0.2555066079295154
High,Rural,Black/African American,700,179,0.2557142857142857
High,Rural,Filipino,639,147,0.2300469483568075
High,Rural,Hispanic/Latino,768,662,0.8619791666666666
High,Rural,Pacific Islander,604,33,0.054635761589403975
High,Rural,Two or More Races,733,307,0.41882673942701226
High,Rural,White,766,655,0.8550913838120104
High,Suburban,All Students,2524,2523,0.9996038034865293
High,Suburban,American Indian/Alaska Native,2351,302,0.1284559761803488
High,Suburban,Asian,2449,1768,0.721927317272356
High,Suburban,Black/African American,2509,1984,0.7907532881626146
High,Suburban,Filipino,2407,1462,0.6073950976319069
High,Suburban,Hispanic/Latino,2524,2477,0.981378763866878
High,Suburban,Pacific Islander,2336,484,0.2071917808219178
High,Suburban,Two or More Races,2443,1565,0.6406058125255834
High,Suburban,White,2503,2048,0.818218138234119
High,Town,All Students,713,709,0.9943899018232819
High,Town,American Indian/Alaska Native,680,231,0.3397058823529412
High,Town,Asian,662,170,0.256797583081571
High,Town,Black/African American,673,167,0.24814264487369986
High,Town,Filipino,609,43,0.07060755336617405
High,Town,Hispanic/Latino,712,631,0.8862359550561798
High,Town,Pacific Islander,588,27,0.04591836734693878
High,Town,Two or More Races,695,365,0.5251798561151079
High,Town,White,712,662,0.9297752808988764
High,Unknown,All Students,210,205,0.9761904761904762
High,Unknown,American Indian/Alaska Native,161,10,0.062111801242236024
High,Unknown,Asian,180,36,0.2
High,Unknown,Black/African American,199,100,0.5025125628140703
High,Unknown,Filipino,168,11,0.06547619047619048
High,Unknown,Hispanic/Latino,209,179,0.8564593301435407
High,Unknown,Pacific Islander,136,8,0.058823529411764705
High,Unknown,Two or More Races,179,39,0.21787709497206703
High,Unknown,White,203,103,0.5073891625615764
Middle,City,All Students,5291,5291,1
Middle,City,American Indian/Alaska Native,4815,73,0.015160955347871236
Middle,City,Asian,5139,3427,0.6668612570539015
