level_strict3,locale_simple,category_type,subgroup,subgroup_code,years_n,avg_ratio_vs_all,latest_ratio,avg_rate
Elementary,Unknown,Sex,Female,SF,3,22.15592838354854,23.135241596638657,0.5850586611456177
Elementary,Rural,Sex,Female,SF,6,8.043794586963935,8.88840209322137,0.18249567000487535
Elementary,Suburban,Sex,Female,SF,6,7.18391365131029,5.273022415785997,0.09978940754413941
Elementary,Town,Sex,Female,SF,6,5.535898852271108,8.730803571428572,0.21494378834860645
Alternative,Suburban,Sex,Female,SF,6,5.337479185065717,6.944962603621998,0.42689116720358955
High,Unknown,Sex,Female,SF,5,5.15457221225902,0,0.1625797131783197
High,City,Sex,Female,SF,6,5.130517819217924,4.6505808385580645,0.22585712286795032
High,Rural,Sex,Female,SF,6,5.129001866018681,4.730242482485828,0.3322942070828268
High,Suburban,Sex,Female,SF,6,4.946389367088779,4.923152582864395,0.24053347263884486
Middle,Unknown,Sex,Female,SF,3,4.758771258645578,2.1123853211009176,0.3392103107077582
Middle,Town,Sex,Female,SF,6,4.753176962561035,5.219568726790112,0.459136016756153
Other/Unknown,City,Sex,Female,SF,6,4.664640997878954,4.949393577760034,0.22632750847033153
Middle,City,Sex,Female,SF,6,4.373861443400993,5.324041323613754,0.20269756112997803
Other/Unknown,Rural,Sex,Female,SF,6,4.296097524029069,3.9969259971318616,0.25106149271712436
Middle,Suburban,Sex,Female,SF,6,4.083695735258694,4.397570111223196,0.19342661895992455
Elementary,City,Sex,Female,SF,6,4.013143373339181,3.0527674231029147,0.03530435358369608
Other/Unknown,Suburban,Sex,Female,SF,6,3.8311102946473787,3.736158282256356,0.20915868657625192
Middle,Unknown,Sex,Male,SM,4,3.6502576816911856,4.5892682926829265,0.206835699023199
Middle,Rural,Sex,Female,SF,6,3.41820934011684,4.388588613424055,0.19026383537494157
High,Town,Sex,Female,SF,6,3.2628965676752593,3.3844282107461816,0.32561703976506723
Alternative,City,Sex,Female,SF,6,3.0912400039597756,3.198915254237288,0.14971491524012528
Other/Unknown,Town,Sex,Female,SF,6,3.052463020996284,1.6918847674637545,0.2268439613745934
Other/Unknown,Unknown,Sex,Female,SF,6,2.5740818976482176,4.399893268985359,0.09946945815471361
Alternative,Unknown,Sex,Female,SF,6,2.181277890677603,2.1875,0.3651641959688374
Alternative,Rural,Sex,Male,SM,2,1.6554157941869807,2.825885978428351,0.13636363636363635
High,City,Sex,Male,SM,6,1.5624051812271236,1.4947796341752375,0.0685246827341348
High,Rural,Sex,Male,SM,6,1.4605505647771873,1.1115028846603963,0.0959969480636317
Alternative,Rural,Sex,Female,SF,6,1.3493124025327252,1.3037146735776874,0.20782502781621387
High,Suburban,Sex,Male,SM,6,1.2508848630820488,1.2711461357357452,0.061901210647543024
Alternative,City,Sex,Male,SM,6,1.1711670538825192,1.3334545677950482,0.057208604304650364
Other/Unknown,City,Sex,Male,SM,6,1.1543270786208346,1.4084016888536883,0.056842629026680046
Other/Unknown,Suburban,Sex,Male,SM,6,1.031652219200217,0.9715188366126956,0.05620734639939905
Alternative,Suburban,Sex,Male,SM,6,0.947623511440103,0.7540037226172862,0.08576036251044362
High,Town,Sex,Male,SM,6,0.941277957375169,0.9474393827374521,0.092975610265882
Middle,City,Sex,Male,SM,6,0.9112276661322318,0.7314667474731572,0.04228280414026262
Elementary,City,Sex,Male,SM,6,0.8938842334042123,0.6628826320846172,0.007873691458235004
Middle,Rural,Sex,Male,SM,6,0.8737118332324669,0.7950900251724602,0.049217241745362524
Middle,Suburban,Sex,Male,SM,6,0.8464831854887301,0.8462345914843243,0.04136515868923563
Other/Unknown,Rural,Sex,Male,SM,6,0.8378535000694386,0.8690589567325119,0.04878233279359628
Other/Unknown,Unknown,Sex,Male,SM,4,0.8106262035559901,0,0.05900875881221961
Other/Unknown,Town,Sex,Male,SM,6,0.7859479517386417,0.7975727372208152,0.05800006151826183
Alternative,Town,Sex,Female,SF,6,0.7249308589672233,0,0.13534168430957422
Elementary,Town,Sex,Male,SM,6,0.6910791776884315,0.7590309939437121,0.02637405067126139
Alternative,Unknown,Sex,Male,SM,1,0.6384905660377359,0.6384905660377359,0.13333333333333333
Elementary,Rural,Sex,Male,SM,6,0.6107177056993696,0.422512071332706,0.014324090106135445
Middle,Town,Sex,Male,SM,6,0.6063877664548672,0.5303513286598726,0.05955038932176341
Elementary,Suburban,Sex,Male,SM,6,0.5321715594456209,0.6017227011494253,0.008243682681915498
Alternative,Town,Sex,Male,SM,5,0.35397919613775664,0,0.0630952380952381
Elementary,Unknown,Sex,Male,SM,4,0.11541071428571428,0,0.003125
Elementary,City,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.715132816551556,2.536738763969663,0.02410975571768631
Elementary,Suburban,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.625580429547046,2.445059882460291,0.0374555725560717
Elementary,Rural,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.550610288178139,2.481462414038143,0.057370763170248626
Elementary,Town,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.4187138759985753,2.3650928806019427,0.0923056536182638
High,Suburban,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.3681947593614106,2.2049149135900747,0.11556233795370564
Elementary,Unknown,Socioeconomic,Socioeconomically Disadvantaged,SD,5,2.325726609129537,1.6800000000000002,0.05729021428172863
Other/Unknown,City,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.2447743245297698,2.100322914818889,0.11001569422510415
Other/Unknown,Rural,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.173370602575952,1.9622103563100595,0.1281104478774466
Middle,Rural,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.1714726782759532,2.01415502439471,0.11992850428131369
High,Rural,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.1165481950130713,2.0215785949136165,0.13895070091746056
Other/Unknown,Suburban,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.107248246398299,1.9474272474687675,0.11460530252331022
Middle,Suburban,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.106918602608436,1.912966869035018,0.10073128870522603
Alternative,Suburban,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.1060584111320164,2.286739566734044,0.1745370671328052
Other/Unknown,Town,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.05982459765219,1.9023703845338502,0.1520426987102924
Middle,City,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.0516091717744054,1.9014009481920997,0.09545430164380736
High,Town,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.0433392823968592,1.8773190180084713,0.2018735380713203
Middle,Unknown,Socioeconomic,Socioeconomically Disadvantaged,SD,5,2.041350467155115,2.577639751552795,0.10487387367766257
Middle,Town,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.026597028523548,1.864606172366381,0.19569057375995283
High,City,Socioeconomic,Socioeconomically Disadvantaged,SD,6,2.0057573304725826,1.8575682665100306,0.08892696588585498
Alternative,City,Socioeconomic,Socioeconomically Disadvantaged,SD,6,1.9506764464859574,1.984610357307053,0.0980598029498928
Alternative,Unknown,Socioeconomic,Socioeconomically Disadvantaged,SD,6,1.74934260023841,0.625,0.359728700748284
Alternative,Rural,Socioeconomic,Socioeconomically Disadvantaged,SD,6,1.6741817274297424,1.4052913588496616,0.25321528542207056
High,Unknown,Socioeconomic,Socioeconomically Disadvantaged,SD,5,1.500508116402449,0.530828232170514,0.05079163591381486
Alternative,Town,Socioeconomic,Socioeconomically Disadvantaged,SD,6,1.4585640596817335,1.4981065469291825,0.21409713839787
Other/Unknown,Unknown,Socioeconomic,Socioeconomically Disadvantaged,SD,6,1.1428928059069794,1.2222200552240166,0.05399377613825287
High,Unknown,Special Education,Students with Disabilities,SE,5,1.616245520396295,1.7241815278147459,0.06249913554548498
High,Rural,Special Education,Students with Disabilities,SE,6,1.61187097124567,1.7229872716734949,0.10533461329848348
High,Suburban,Special Education,Students with Disabilities,SE,6,1.555010825846176,1.6129213295283722,0.0761435626182238
Alternative,Rural,Special Education,Students with Disabilities,SE,6,1.4391095977202177,1.5053058976477294,0.22289030826924502
High,Town,Special Education,Students with Disabilities,SE,6,1.3848397038192286,1.419969501514722,0.13702722210589632
High,City,Special Education,Students with Disabilities,SE,6,1.3791506017071427,1.4944103869251364,0.06123855340723952
Alternative,City,Special Education,Students with Disabilities,SE,6,1.281793444629538,1.4358172345428557,0.06398037664079496
Alternative,Suburban,Special Education,Students with Disabilities,SE,6,1.144149490295657,1.0323009495365418,0.09403583210643515
Other/Unknown,Rural,Special Education,Students with Disabilities,SE,6,1.0641441599296975,1.1283813547200234,0.06238375301263484
Middle,Unknown,Special Education,Students with Disabilities,SE,5,1.0530883628555776,1.2613981762917932,0.053226958768174674
Other/Unknown,Suburban,Special Education,Students with Disabilities,SE,6,1.018677996976233,1.0407229025495146,0.055421541817960704
Other/Unknown,Unknown,Special Education,Students with Disabilities,SE,6,0.9959562611755689,1.3301660677065674,0.04840250208102669
Other/Unknown,City,Special Education,Students with Disabilities,SE,6,0.9737563072403391,1.0579569673199554,0.047618455632214854
Middle,Suburban,Special Education,Students with Disabilities,SE,6,0.880875065042508,0.8781601984265278,0.042199549233541085
Middle,Rural,Special Education,Students with Disabilities,SE,6,0.8636629367510354,0.8636738924682391,0.048130737886444584
Other/Unknown,Town,Special Education,Students with Disabilities,SE,6,0.8409938992685397,0.8248973025073091,0.062425549561916475
