level_strict3,locale_simple,academic_year,male_female_ratio,sped_ratio,sed_ratio,data_source,high_sped_disparity,high_gender_disparity,high_sed_disparity
Alternative,City,2017-18,0.598221755,NA,NA,demographic,NA,FALSE,NA
Alternative,City,2018-19,0.23869186663835212,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2019-20,0.4232987037743042,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2021-22,0.3838776313200866,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2022-23,0.2441622412068037,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2023-24,0.4168458561159919,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2017-18,NA,NA,NA,demographic,NA,NA,NA
Alternative,Rural,2018-19,NA,NA,NA,demographic,NA,NA,NA
Alternative,Rural,2019-20,0.3036750483558994,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2021-22,2.290909090909091,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2022-23,NA,NA,NA,demographic,NA,NA,NA
Alternative,Rural,2023-24,NA,NA,NA,demographic,NA,NA,NA
Alternative,Suburban,2017-18,0.7181335657133804,NA,NA,demographic,NA,FALSE,NA
Alternative,Suburban,2018-19,0.17345215759849908,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2019-20,0.03145712,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2021-22,0.065038071,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2022-23,0.20953085810616343,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2023-24,0.10856843523160968,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2017-18,0.11904761904761904,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2018-19,1.368421052631579,NA,NA,demographic,NA,FALSE,NA
Alternative,Town,2019-20,NA,NA,NA,demographic,NA,NA,NA
Alternative,Town,2021-22,Inf,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2022-23,NA,NA,NA,demographic,NA,NA,NA
Alternative,Town,2023-24,NA,NA,NA,demographic,NA,NA,NA
Alternative,Unknown,2017-18,NA,NA,NA,demographic,NA,NA,NA
Alternative,Unknown,2018-19,NA,NA,NA,demographic,NA,NA,NA
Alternative,Unknown,2019-20,NA,NA,NA,demographic,NA,NA,NA
Alternative,Unknown,2021-22,NA,NA,NA,demographic,NA,NA,NA
Alternative,Unknown,2022-23,0.25701754385964914,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2017-18,0.2055063216353539,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2018-19,0.2052418096723869,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2019-20,0.18456112852664577,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2021-22,0.313951012,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2022-23,0.21330360460795245,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2023-24,0.21714154411764705,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2017-18,0.049594377,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2018-19,0.163265306,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2019-20,0.059920693200176234,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2021-22,0.13773584905660377,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2022-23,0.093582888,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2023-24,0.047535211,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2017-18,0.22499601342759362,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2018-19,0.060737713,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2019-20,0.035060655,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2021-22,0.014696106362773029,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2022-23,0.041835687,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2023-24,0.11411343508573582,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2017-18,0.095835271,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2018-19,0.14516168099794113,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2019-20,0.08023733,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2021-22,0.2198830409356725,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2022-23,0.18357487922705312,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2023-24,0.086937129,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2017-18,0,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2018-19,0.017968750000000002,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2019-20,0,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2021-22,NA,NA,NA,demographic,NA,NA,NA
High,City,2017-18,0.23726783552111064,NA,NA,demographic,NA,TRUE,NA
High,City,2018-19,0.2737437041225563,NA,NA,demographic,NA,TRUE,NA
High,City,2019-20,0.30584859348382026,NA,NA,demographic,NA,TRUE,NA
High,City,2021-22,0.34118133002891365,NA,NA,demographic,NA,TRUE,NA
High,City,2022-23,0.3494507464470316,NA,NA,demographic,NA,TRUE,NA
High,City,2023-24,0.3214178370542423,NA,NA,demographic,NA,TRUE,NA
High,Rural,2017-18,0.30464251661209374,NA,NA,demographic,NA,TRUE,NA
High,Rural,2018-19,0.3342857142857143,NA,NA,demographic,NA,TRUE,NA
High,Rural,2019-20,0.26245978356244515,NA,NA,demographic,NA,TRUE,NA
High,Rural,2021-22,0.2806349206349206,NA,NA,demographic,NA,TRUE,NA
High,Rural,2022-23,0.30260439123544797,NA,NA,demographic,NA,TRUE,NA
High,Rural,2023-24,0.2349779929413431,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2017-18,0.25002771759812775,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2018-19,0.23731500825592042,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2019-20,0.17404688609992897,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2021-22,0.3283098134932435,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2022-23,0.29428472939682493,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2023-24,0.2581975907389336,NA,NA,demographic,NA,TRUE,NA
