level_strict3,locale_simple,reason,start_year,end_year,start_rate,end_rate,abs_change,pct_change,log_change,direction
Alternative,Unknown,Violent (No Injury),2017-18,2023-24,0.14335452618831365,0.011428571428571429,-0.13192595475974223,-0.9202775682606729,-2.529204280598912,Decrease
Alternative,Rural,Violent (No Injury),2017-18,2023-24,0.11456202343314116,0.0308595229079894,-0.08370250052515177,-0.7306304307203588,-1.311670978774157,Decrease
Alternative,Town,Willful Defiance,2017-18,2023-24,0.061250477524512924,0.013588634959851761,-0.04766184256466116,-0.7781464649901957,-1.5057378670502057,Decrease
Alternative,Unknown,Willful Defiance,2017-18,2023-24,0.038904026642446264,0,-0.038904026642446264,-1,NA,Decrease
Alternative,Town,Violent (No Injury),2017-18,2023-24,0.08302559531389278,0.04488367304920733,-0.03814192226468545,-0.4593995637186731,-0.6150748381084341,Decrease
Alternative,Unknown,Violent (Injury),2017-18,2023-24,0.037693006357856496,0,-0.037693006357856496,-1,NA,Decrease
Middle,Unknown,Violent (No Injury),2017-18,2022-23,0.03515232674924674,0.004819277108433735,-0.030333049640813004,-0.8629030407343661,-1.9870668716121664,Decrease
Alternative,Rural,Willful Defiance,2017-18,2023-24,0.026222800818300168,0.009087466868610375,-0.017135333949689795,-0.6534517067197306,-1.0597330955176767,Decrease
Alternative,Suburban,Willful Defiance,2017-18,2023-24,0.02177333401004923,0.004772562701599631,-0.0170007713084496,-0.7808069862246678,-1.5178025958790828,Decrease
High,Town,Willful Defiance,2017-18,2023-24,0.024933249061617244,0.008869264245539918,-0.016063984816077327,-0.644279643474406,-1.0336103721865142,Decrease
Middle,Town,Willful Defiance,2017-18,2023-24,0.021004908077530988,0.005048513919004753,-0.015956394158526236,-0.7596507492263124,-1.4256622018773664,Decrease
Alternative,Unknown,Other,2017-18,2023-24,0.02119285498032092,0.005714285714285714,-0.015478569266035205,-0.7303673469387756,-1.3106947905820832,Decrease
Middle,Town,Violent (No Injury),2017-18,2023-24,0.05136843856584311,0.06415226580809076,0.01278382724224765,0.2488654045005004,0.22223546272694594,Increase
Other/Unknown,Unknown,Violent (No Injury),2017-18,2023-24,0.023492157007143383,0.011826477035224551,-0.011665679971918832,-0.4965776436949399,-0.6863257866491254,Decrease
Alternative,Unknown,Illicit Drug,2017-18,2023-24,0.011353315168029064,0,-0.011353315168029064,-1,NA,Decrease
Alternative,Rural,Illicit Drug,2017-18,2023-24,0.023061186535242702,0.012684589170768649,-0.010376597364474053,-0.4499593873288466,-0.5977631622614703,Decrease
Alternative,Suburban,Violent (No Injury),2017-18,2023-24,0.047065590688389246,0.03760450266605227,-0.009461088022336979,-0.20101921348393836,-0.22441838041855897,Decrease
Alternative,Rural,Other,2017-18,2023-24,0.011344615956853264,0.001893222264293828,-0.009451393692559436,-0.8331171128670833,-1.7904629872266649,Decrease
Other/Unknown,Rural,Willful Defiance,2017-18,2023-24,0.01400356491630642,0.004887792043173896,-0.009115772873132522,-0.6509608751495615,-1.0525712574744228,Decrease
High,Rural,Willful Defiance,2017-18,2023-24,0.012316849164874908,0.0035249291957863854,-0.008791919969088523,-0.7138124248660324,-1.2511078260307924,Decrease
Other/Unknown,Unknown,Willful Defiance,2017-18,2023-24,0.010886908707072195,0.0021410001529285822,-0.008745908554143613,-0.8033417740025893,-1.626287950328747,Decrease
Other/Unknown,Suburban,Willful Defiance,2017-18,2023-24,0.012835963067064525,0.004270910519397828,-0.008565052547666697,-0.6672699588582917,-1.1004238050484552,Decrease
Alternative,City,Violent (No Injury),2017-18,2023-24,0.030083313952692998,0.022027240872612184,-0.008056073080080814,-0.26779207545914835,-0.3116907554361698,Decrease
Middle,Unknown,Willful Defiance,2017-18,2022-23,0.007997619313320686,0,-0.007997619313320686,-1,NA,Decrease
Alternative,Suburban,Illicit Drug,2017-18,2023-24,0.02173949821516182,0.013823974721874794,-0.007915523493287025,-0.36410792075074144,-0.45272641675543673,Decrease
Other/Unknown,City,Willful Defiance,2017-18,2023-24,0.00881967426080787,0.001477127908880701,-0.007342546351927169,-0.832518995010435,-1.7868853371950009,Decrease
Middle,Unknown,Violent (Injury),2017-18,2022-23,0.018487519994048282,0.012048192771084338,-0.006439327222963944,-0.3483067077161765,-0.4281812383408973,Decrease
Middle,City,Willful Defiance,2017-18,2023-24,0.006917317708333333,4.7964434114231e-4,-0.006437673367191023,-0.930660356894627,-2.6687384857622583,Decrease
