level_strict3,locale_simple,years_n,races_per_year,avg_spread,avg_ratio,median_spread,avg_spread_9010,avg_cv,latest_year,latest_spread,latest_ratio,first_spread,trend_direction
Alternative,Unknown,6,6,0.37915560178575747,2.486486486486487,0.47448165869218495,0.25423297812140017,1.0092487912935726,2023-24,0.016157461809635724,2.486486486486487,0.58679706601467,decreasing
Middle,Town,6,8,0.3668941307278277,15.27361805883863,0.3595893897988129,0.27484107280716963,0.8458470504432483,2023-24,0.5083085071168487,15.486792452830189,0.3748420998857547,increasing
Alternative,Rural,6,7.5,0.26528014094998076,24.1,0.2755706287683032,0.19725346388029139,1.0534424988294364,2023-24,0.13544018058690746,NA,0.3798449612403101,decreasing
Other/Unknown,Town,6,8,0.2253619438741823,11.583459497432134,0.21377645879174534,0.13741255183255757,0.788464816083906,2023-24,0.23540875652586618,17.870960884353742,0.268302351124361,decreasing
High,Town,6,8,0.223031275626013,9.921243750973366,0.22712938327138144,0.156493625789264,0.5942142360661876,2023-24,0.2331430614616455,11.356932153392329,0.17293669705337472,increasing
Alternative,Town,6,5.666666666666667,0.21306079568786698,5.341958964567069,0.23008798673513053,0.1693359732592015,0.5971293497709912,2023-24,0.23125,NA,0.22892597347026103,stable
Alternative,Suburban,6,8,0.1869182538987203,NA,0.19466399446275667,0.117693093693981,1.1017845718508914,2023-24,0.18063342930747084,NA,0.20869455961804248,decreasing
High,Rural,6,8,0.18366699223669375,15.735983909118767,0.17163585158942085,0.14731064808550887,0.8483259574070646,2023-24,0.16887044637535023,17.734257090814467,0.17440125680349144,stable
Middle,Rural,6,8,0.17598009784063842,17.244641537324465,0.18651862850660683,0.1543469039137132,0.9727100036975893,2023-24,0.1931489888567891,NA,0.17988826815642459,stable
Middle,Suburban,6,8,0.17325629608611698,14.518042965352622,0.17054831731880565,0.13349225740999854,0.875108089042753,2023-24,0.16175415098152668,11.340686983434635,0.16955993459929417,stable
Middle,City,6,8,0.14492067783780452,15.229924363729719,0.14731075229889296,0.11413502724190859,0.7930186661493539,2023-24,0.1266936387697036,10.570242559372995,0.15397677247337338,decreasing
Elementary,Rural,6,8,0.14390324385233436,45.316993464052295,0.11487134890738475,0.08241585723373743,1.2001639445425825,2023-24,0.08445945945945946,NA,0.09551656920077972,decreasing
Other/Unknown,Rural,6,8,0.1436260620335987,10.091577938837004,0.14245176112115024,0.10421536430876494,0.6964097105187754,2023-24,0.1391074695803094,10.213551401869157,0.18105332826419754,decreasing
Elementary,Town,6,8,0.13982823310843404,NA,0.14964539007092198,0.12077735810749254,0.9925966599126893,2023-24,0.17244367417677642,NA,0.16595744680851063,stable
Other/Unknown,City,6,8,0.13515581775671348,12.451820556792338,0.13576492145796554,0.09581575503632955,0.7388017932075289,2023-24,0.12831556720900977,11.619690268746533,0.16338143441211908,decreasing
Other/Unknown,Suburban,6,8,0.1330509866869315,9.83816063879522,0.13708316290671357,0.08898465555478363,0.6958357231335216,2023-24,0.13430732536354054,9.267905582230403,0.14876449813698334,stable
High,Suburban,6,8,0.13031240384877424,10.316803336149743,0.13548126850511383,0.096324570467021,0.7467432285422424,2023-24,0.1348897728572837,10.615594489284698,0.13607276415294395,stable
Other/Unknown,Unknown,6,7.666666666666667,0.11610022416475947,24.270977992503987,0.09741376578465213,0.0651880591391871,1.037323003435107,2023-24,0.05385097056981841,NA,0.12267420575194239,decreasing
High,City,6,8,0.10767635257935845,11.328773706606448,0.10978119803222222,0.07919902797313272,0.7013639805718566,2023-24,0.10969163358261963,9.384828471055444,0.12401407934704821,decreasing
Middle,Unknown,5,7.2,0.09713603463952829,NA,0.07681159420289856,0.06562271345371108,1.0434184087737055,2022-23,0.0379746835443038,NA,0.15264232252211385,decreasing
Alternative,City,6,8,0.09581024746529918,41.731416061442296,0.09550180228038091,0.06640654365048144,0.8875931992168926,2023-24,0.14108409321175278,80.57142857142857,0.09710625847427388,increasing
Elementary,City,6,8,0.08071645677169308,87.33958333333334,0.032654464623266224,0.03796228438494642,1.2696030927825577,2023-24,0.030735362601075313,NA,0.2883272109979407,decreasing
Elementary,Unknown,5,6,0.07856747640946002,NA,0.07017543859649122,0.05195313124096615,1.213361286131911,2022-23,0.07017543859649122,NA,0.13176895306859207,decreasing
Elementary,Suburban,6,8,0.06547301380823459,22.711886447169846,0.062203091984939424,0.046751959114596474,1.0980331387001485,2023-24,0.06077422271079896,17.469814354626518,0.07897675326895778,decreasing
High,Unknown,5,5.8,0.053511650306205145,NA,0.05178319564779367,0.042988113258533744,1.341425828087782,2022-23,0.06951658010387535,NA,0.05178319564779367,increasing
