Variable/Data Category,Final Parquet File,Raw Source File(s),Raw File Path,Transforming Script(s),Join Key(s),Notes/Assumptions
Suspension counts, enrollment, race reporting_category, school/district/county codes, school_locale, grades_served, school_type,susp_v6_features.parquet; susp_v6_long.parquet,copy_CDE_suspensions_1718-2324_sc_race.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_race.xlsx (or RAW_PATH override),R/01_ingest_v0.R → R/02_feature_locale_simple.R → R/02b_drop_charter_all.R → R/03_feature_size_quartiles_TA.R → R/04_feature_black_prop_quartiles.R → R/05_feature_school_level.R → R/06_feature_reason_shares.R → R/22_build_v6_features.R,school_code + academic_year; cds_school + academic_year,Raw Excel path resolved via RAW_PATH in R/00_paths.R.
Locale classification (locale_simple),susp_v1.parquet → susp_v6_features.parquet; susp_v6_long.parquet,SchoolSites2425.csv (external locale lookup) and/or school_locale in race Excel,/Users/mcorral/Library/CloudStorage/GoogleDrive-mdcorral@g.ucla.edu/.shortcut-targets-by-id/1qNAOKIg0UjuT3XWFlk4dkDLN6UPWJVGx/Center for the Transformation of Schools/Research/CA Race Education And Community Healing (REACH)/2. REACH Network (INTERNAL)/15. REACH Baseline Report_Summer 2025/5. Data/SchoolSites2425.csv,R/02_feature_locale_simple.R (derives locale_simple from school_locale),cds_school + academic_year (if external lookup applied upstream),External file not stored in repo. Pipeline derives locale_simple from school_locale column; confirm whether SchoolSites2425.csv was joined upstream to populate school_locale.
Charter flags and charter filtering,susp_v1_noall.parquet → downstream outputs,copy_CDE_suspensions_1718-2324_sc_race.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_race.xlsx (or RAW_PATH override),R/01_ingest_v0.R → R/02b_drop_charter_all.R,charter_yn in raw; filtering applied on charter_yn,Rows with charter_yn == "All" removed.
Enrollment quartiles (enroll_q/enroll_q_label),susp_v2.parquet → downstream outputs,copy_CDE_suspensions_1718-2324_sc_race.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_race.xlsx (or RAW_PATH override),R/03_feature_size_quartiles_TA.R,cds_school + academic_year,Quartiles computed from cumulative_enrollment for All Students.
Race proportion shares + quartiles (prop_black/white/hispanic; black_prop_q/white_prop_q/hispanic_prop_q labels),susp_v3.parquet → downstream outputs,copy_CDE_suspensions_1718-2324_sc_race.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_race.xlsx (or RAW_PATH override),R/04_feature_black_prop_quartiles.R,cds_school + academic_year,Derived from cumulative_enrollment for subgroup rows.
School level (school_level),susp_v4.parquet → downstream outputs,copy_CDE_suspensions_1718-2324_sc_race.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_race.xlsx (or RAW_PATH override),R/05_feature_school_level.R + R/utils_keys_filters.R span_label()/is_alt(),cds_school + academic_year,Derived from grades_served and school_type.
Suspension reason counts and shares (violent_injury, violent_no_injury, weapons, illicit_drug, defiance_only, other_reasons + prop_susp_*),susp_v5.parquet; susp_v5_long.parquet,copy_CDE_suspensions_1718-2324_sc_race.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_race.xlsx (or RAW_PATH override),R/06_feature_reason_shares.R + R/utils_keys_filters.R reason_labels,cds_school + academic_year,Proportions computed when numerator and denominator > 0.
Other demographics (SPED/EL/Migrant/Foster/Homeless/SED/sex rates),susp_v6_features.parquet,copy_CDE_suspensions_1718-2324_sc_oth.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_oth.xlsx (or OTH_RAW_PATH override),R/01b_ingest_demographics.R → R/22_build_v6_features.R,school_code + academic_year,Derived from oth_long.parquet category/subgroup recodes.
Other demographics long-format (category_type/subgroup counts + rates),oth_long.parquet,copy_CDE_suspensions_1718-2324_sc_oth.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_oth.xlsx (or OTH_RAW_PATH override),R/01b_ingest_demographics.R + R/demographic_labels.R,school_code + academic_year,Recoded subgroup labels via canonicalize_demo().
Teacher demographics (race/gender/staff type counts),teacher_staff_long.parquet,stre{YYZZ}.txt (CDE Teacher Staff Demographics),$REACH_PROJECT_ROOT/data-raw/stre*.txt (or TEACHER_RAW_DIR override),R/01c_ingest_teacher_demographics.R + R/teacher_processing.R,cds_school + academic_year,Teacher files are not in repo; see data-raw/README_TEACHER_DATA.md for acquisition.
Teacher race/gender share features merged onto student data,susp_v6_teacher_features.parquet,teacher_staff_long.parquet + susp_v6_long.parquet,$REACH_PROJECT_ROOT/data-stage/teacher_staff_long.parquet + $REACH_PROJECT_ROOT/data-stage/susp_v6_long.parquet,Analysis/22_build_teacher_race_shares.R (teacher_summarise_long) + left_join(),academic_year + cds_school,LEFT JOIN keeps all student rows.
Teacher summary merged onto v6 long (alternate output),susp_v6_teacher_long.parquet,teacher_staff_long.parquet + susp_v6_long.parquet,$REACH_PROJECT_ROOT/data-stage/teacher_staff_long.parquet + $REACH_PROJECT_ROOT/data-stage/susp_v6_long.parquet,Analysis/18_merge_teacher_student.R,academic_year + cds_school,Output not currently present in data-stage; generated by Analysis/18.
Column dictionary (raw column mapping),column_dictionary_v0.csv,copy_CDE_suspensions_1718-2324_sc_race.xlsx,$REACH_PROJECT_ROOT/data-raw/copy_CDE_suspensions_1718-2324_sc_race.xlsx (or RAW_PATH override),R/01_ingest_v0.R,N/A,Derived metadata of raw column names and example values.
Unknown origin: susp_v5_long_strict.parquet,susp_v5_long_strict.parquet,Unknown,Unknown,Unknown,Unknown,File exists in data-stage but no generating script found; see docs/audits/AUDIT_REPORT_DATA_CONSISTENCY.md.
